top - 18:03:20 up 52 days,  6:27,  1 user,  load average: 0,04, 0,05, 0,04
Tasks: 528 total,   1 running, 522 sleeping,   5 stopped,   0 zombie
%Cpu(s):  0,3 us,  0,3 sy,  0,0 ni, 99,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem : 128551,2 total, 112903,1 free,   2579,6 used,  13068,5 buff/cache
MiB Swap:   2048,0 total,   1242,9 free,    805,1 used. 124734,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
3290243 rmikhail  20   0   12600   4420   3428 R   6,7   0,0   0:00.01 top
    398 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    399 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    400 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    401 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    402 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    403 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    404 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    405 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    406 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    407 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    408 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    409 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    412 root       0 -20       0      0      0 I   0,0   0,0   0:02.83 kworker+
    415 root       0 -20       0      0      0 I   0,0   0,0   0:03.39 kworker+
    434 root      20   0       0      0      0 S   0,0   0,0   2:24.20 jbd2/nv+
    435 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    439 root       0 -20       0      0      0 I   0,0   0,0   0:09.34 kworker+
    471 root       0 -20       0      0      0 I   0,0   0,0   0:07.55 kworker+
    475 root       0 -20       0      0      0 I   0,0   0,0   0:03.66 kworker+
    477 root      19  -1  136252  58016  56968 S   0,0   0,0   0:51.85 systemd+
    494 root       0 -20       0      0      0 I   0,0   0,0   0:04.82 kworker+
    511 root       0 -20       0      0      0 I   0,0   0,0   0:02.16 kworker+
    512 root      20   0   25280   5372   2228 S   0,0   0,0   0:07.49 systemd+
    515 root       0 -20       0      0      0 I   0,0   0,0   0:00.42 kworker+
    618 root       0 -20       0      0      0 I   0,0   0,0   0:00.56 kworker+
    619 root       0 -20       0      0      0 I   0,0   0,0   0:00.25 kworker+
    620 root       0 -20       0      0      0 I   0,0   0,0   0:00.24 kworker+
    621 root       0 -20       0      0      0 I   0,0   0,0   0:00.29 kworker+
    622 root       0 -20       0      0      0 I   0,0   0,0   0:00.24 kworker+
    623 root       0 -20       0      0      0 I   0,0   0,0   0:00.17 kworker+
    624 root       0 -20       0      0      0 I   0,0   0,0   0:00.26 kworker+
    625 root       0 -20       0      0      0 I   0,0   0,0   0:00.19 kworker+
