Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU,Last Verified
Image Classification,coat_mini,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,coatnet_1_rw_224.sw_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,coatnext_nano_rw_224.sw_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,codegemma-1.1-2b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,codegemma-1.1-7b-it,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,codegemma-2b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,codegemma-7b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,codegen2-1B_P,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,codegen-2B-multi,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,codegen-350M-mono,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,codellama-7b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,codellama-7b,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,codellama-7b,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,CodeQwen1.5-7B-Chat,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,codet5-base-sum,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,codet5-base-sum,pytorch,INT4-MIXED,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,codet5-base-sum,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2026.2
Colorization,colorization-siggraph,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
