Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU,Last Verified
Object Detection,mobilenet-v2,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v2,paddle,INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenetv2_050.lamb_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v2-1.0-224,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v2-1.0-224,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v2-1.0-224,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v2-1.0-224,tf2,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenet-v2-1.0-224,tf2,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v2-1.0-224,tf2,INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenetv2-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenetv3_large_100.miil_in21k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,paddle,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,paddle,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-large-1.0-224,paddle,INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-small-1.0-224,tf,FP32,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP32,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-small-1.0-224,tf,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,mobilenet-yolo-v4-syg,tf,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Object Detection,mobilenet-yolo-v4-syg,tf,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Object Detection,mobilenet-yolo-v4-syg,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,mobilevit_s,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,mobilevitv2_150,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,mobilevit-xx-small,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Background Matting,modnet_photographic_portrait_matting,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Background Matting,modnet_photographic_portrait_matting,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Background Matting,modnet_photographic_portrait_matting,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Background Matting,modnet_webcam_portrait_matting,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Background Matting,modnet_webcam_portrait_matting,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Background Matting,modnet_webcam_portrait_matting,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.6.1,tf,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.6.1,tf,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.6.1,tf,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.7.1,tf,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.7.1,tf,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.7.1,tf,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.8.2,tf,INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.8.2,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.8.2,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Speech Recognition,mozilla-deepspeech-0.8.2,tf,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Natural Language Processing,mpnet-base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,mpt-30b-chat,pytorch,INT4-MIXED,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,mpt-30b-chat,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,mpt-7b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,mpt-7b-8k,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,mpt-7b-8k-chat,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,mpt-7b-chat,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,mpt-7b-instruct,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,mpt-7b-storywriter,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,ms-marco-electra-base,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,mt5-small-sum-de-en-v2,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Video Classification,mvit_v1_b,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Video Classification,mvit_v2_s,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Video Classification,mvitv2_small,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,nanodet-m-1.5x-416,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,nanodet-m-1.5x-416,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,nanodet-m-1.5x-416,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Multimodal Large Language Model,nanollava,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,nanollava,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,nanollava,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Image Classification,nasnet-a-large-331,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,nasnet-a-large-331,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,nasnet-a-large-331,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,nasnet-a-mobile-224,tf,FP32,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,nasnet-a-mobile-224,tf,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,nasnet-a-mobile-224,tf,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,netvlad,tf,FP32,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,netvlad,tf,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,netvlad,tf,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Large Language Model,neural-chat-7b-v1-1,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,neural-chat-7b-v3-3,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,neural-chat-7b-v3-3,pytorch,INT4-MIXED,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,neural-chat-7b-v3-3,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,neural-chat-7b-v3-3,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,nf_regnet_b1,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,nf_resnet50,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,nfnet,pytorch,FP32,torch.compile,passed,passed,,OpenVINO 2026.2
Image Classification,nfnet_l0,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,nfnet-f0,onnx,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,nfnet-f0,onnx,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,nfnet-f0,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,nfnet-f6,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,nfnet-f6,pytorch,FP32-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Audio Enhancement,noise-suppression-denseunet-ll-0001,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Audio Enhancement,noise-suppression-poconetlike-0001,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Audio Enhancement,noise-suppression-poconetlike-0001,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Audio Enhancement,noise-suppression-poconetlike-0001,onnx,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Large Language Model,notus-7b-v1,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,notus-7b-v1,pytorch,INT4-MIXED,OpenVINO,passed,,passed,OpenVINO 2026.2
Large Language Model,notus-7b-v1,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2026.2
Recommender,nvidia_deeprecommender,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Text Detection,ocr-perpetuuiti,tf,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Text Detection,ocr-perpetuuiti,tf,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Text Detection,ocr-perpetuuiti,tf,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Image Classification,open-closed-eye-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,open-closed-eye-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,open-closed-eye-0001,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,opennmt-hindi-english,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,openpose-pose,tf,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Object Detection,openpose-pose,tf,FP16-INT8,OpenVINO,,,passed,OpenVINO 2026.2
Object Detection,openpose-pose,tf,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,opt-1.3b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,opt-2.7b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Panoptic Segmentation,panoptic_fpn_R_101_dconv_cascade_gn_3x,pytorch,FP32,torch.compile,,passed,,OpenVINO 2026.2
Panoptic Segmentation,panoptic_fpn_R_50_1x,pytorch,FP32,torch.compile,,passed,,OpenVINO 2026.2
Large Language Model,Pegasus-7b-slerp,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,pegasus-samsum,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,persimmon-8b-chat,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Object Detection,person-attributes-recognition-crossroad-0230,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-attributes-recognition-crossroad-0230,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-attributes-recognition-crossroad-0234,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-attributes-recognition-crossroad-0234,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-attributes-recognition-crossroad-0234,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-attributes-recognition-crossroad-0238,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-attributes-recognition-crossroad-0238,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-attributes-recognition-crossroad-0238,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0100,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0100,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0101,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0101,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0102,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0102,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0106,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,person-detection-0106,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,person-detection-0200,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0200,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0201,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0201,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0202,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0202,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-0203,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-detection-0203,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-detection-0203,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-detection-0301,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,person-detection-0301,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,person-detection-0302,onnx,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Object Detection,person-detection-0302,onnx,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Object Detection,person-detection-0303,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,person-detection-0303,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,person-detection-action-recognition-0006,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-action-recognition-0006,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-action-recognition-0006,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-detection-asl-0001,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-detection-asl-0001,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-detection-asl-0001,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0248,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0248,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0248,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0277,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0277,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0286,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0286,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0287,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0287,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0287,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0288,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-reidentification-retail-0288,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2000,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2000,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2001,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2001,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2002,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2002,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2003,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2003,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2003,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2004,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-2004,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-crossroad-1016,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,person-vehicle-bike-detection-crossroad-1016,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,phi-2,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-2,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-2,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-2,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,phi-3.5-mini-instruct,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-3.5-mini-instruct,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,phi-3.5-mini-instruct,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-3.5-moe-instruct,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,phi-3.5-vision-instruct,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,phi-3.5-vision-instruct,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,phi-3.5-vision-instruct,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-3-medium-4k-instruct,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,phi-3-medium-4k-instruct,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,phi-3-medium-4k-instruct,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,Phi-3-medium-4k-instruct,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,phi-3-mini-128k-instruct,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-3-mini-128k-instruct,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-3-mini-128k-instruct,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,Phi-3-mini-128k-instruct,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,phi-3-mini-4k-instruct,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-3-mini-4k-instruct,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,phi-3-mini-4k-instruct,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-4,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-4,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-4,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,phi-4-mini-instruct,pytorch,FP4-NORMALIZED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,phi-4-mini-instruct,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,phi-4-mini-instruct,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-4-mini-instruct,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-4-mini-reasoning,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-4-mini-reasoning,pytorch,FP4-NORMALIZED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,phi-4-mini-reasoning,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,phi-4-mini-reasoning,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,phi-4-multimodal-instruct,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,phi-4-multimodal-instruct,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,phi-4-multimodal-instruct,pytorch,INT4-MIXED,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,phi-4-reasoning,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,phi-4-reasoning,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,phi-4-reasoning,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Image Classification,phlippe_densenet,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,phlippe_resnet,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,phobert-base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,pit_s_224,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Vision Language Model,pix2struct-base,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Segmentation,pointrend-resnet50-fpn-pytorch,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Image Segmentation,pointrend-resnet50-fpn-pytorch,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Image Segmentation,pointrend-resnet50-fpn-pytorch,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Natural Language Processing,Polish_RoBERTa_large_OPI,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,poolformer_s24,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,pp-ocr-det,paddle,INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,pp-ocr-det,paddle,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,pp-ocr-det,paddle,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,pp-ocr-rec,paddle,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,pp-ocr-rec,paddle,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,pp-ocr-rec,paddle,INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,pp-yolo,paddle,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,pp-yolo,paddle,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,pp-yolo,paddle,INT8,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,prnet,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,prnet,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,prnet,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,product-detection-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,product-detection-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,product-detection-0001,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,prot_bert,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,pspnet-pytorch,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,pspnet-pytorch,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,pspnet-pytorch,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,PubChem10M_SMILES_BPE_396_250,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,pvt_v2_b3,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Ocean Simulator,pyhpc_equation_of_state,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Ocean Simulator,pyhpc_turbulent_kinetic_energy,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,pythia-1.4b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
